Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Kurt,Andersson,Industristigen 147,Sundsvall,51081,Sverige,SE,19990220-1688,+46,08-54 20 42,1999-02-20,True
Ingela,Andreasson,Kvarngatan 2,Skövde,48333,Sverige,SE,19490112-8851,+46,+46 (0)8 022 037 07,1949-01-12,True
Allison,Raymond,Sanders Ridges 593,Maureenborough,08091,Danmark,DK,19661007-8191,+45,698.501.7367x87766,1966-10-07,True
Eva,Engström,Ektorget 9,Kristianstad,57322,Sverige,SE,19740507-6288,+46,+46 (0)8 992 322 34,1974-05-07,True
Theodore,Park,Jamie Spurs 309,North Heather,52950,Danmark,DK,19550213-8021,+45,(556)369-5802,1955-02-13,True
Birger,Olsson,Storvägen 395,Umeå,19337,Sverige,SE,19440722-9605,+46,0567-937 34,1944-07-22,True
Lene,Ødegård,Edvardsenstien 2B,Karendal,1434,Norge,NO,19400520-4537,+47,23190075,1940-05-20,True
Gregory,Noble,Shawn Plain 99656,Port Danielle,63945,Danmark,DK,19860529-2319,+45,354-222-2778,1986-05-29,True
Bertil,Jonsson,Kyrkgränd 432,Trollhättan,67294,Sverige,SE,19880727-9525,+46,+46 (0)8 247 468 51,1988-07-27,True
Gustav,Johansson,Kyrkgatan 915,Karlstad,98586,Sverige,SE,19840123-1048,+46,0730-43 12 48,1984-01-23,True
Ashley,Martin,Joseph Fords 8066,Harrisburgh,36209,Danmark,DK,19840301-3908,+45,313.861.0380x8027,1984-03-01,True
Cecilia,Andersson,Kvarnstigen 00,Falun,44584,Sverige,SE,19520810-4828,+46,+46 (0)8 908 856 65,1952-08-10,True
Elisabet,Eriksson,Skolgränd 6,Lidingö,35074,Sverige,SE,19960326-5097,+46,08-694 83 57,1996-03-26,True
Göran,Karlsson,Villavägen 98,Karlskoga,14949,Sverige,SE,19841116-6379,+46,005-69 71 17,1984-11-16,True
Ivar,Hagen,Jacobsentjernet 7,Aasen,7563,Norge,NO,19960514-0568,+47,+47 43 58 28 68,1996-05-14,True
Edwin,Trevino,Mccoy Curve 726,North Patrick,66569,Danmark,DK,19540916-4121,+45,+1-524-643-2016x519,1954-09-16,True
Monica,Tveit,Hansenhagen 63H,Mathisen,4605,Norge,NO,19470927-4385,+47,20643887,1947-09-27,True
Petra,Lindqvist,Ektorget 908,Södertälje,76608,Sverige,SE,19710729-2786,+46,+46 (0)215 288 57,1971-07-29,True
Heidi,Johnsen,Hansenengen 42,Nilsen,3271,Norge,NO,19651207-8446,+47,+4745827661,1965-12-07,True
Camilla,Andersson,Asptorget 2,Borås,27774,Sverige,SE,19660820-9440,+46,014-951 92 08,1966-08-20,True
Kaitlyn,Ruiz,Jones Camp 867,Janetville,41863,Danmark,DK,19830212-6428,+45,+1-903-749-5876,1983-02-12,True
Rolf,Andersson,Backvägen 8,Malmö,50646,Sverige,SE,19820116-3768,+46,031-61 04 88,1982-01-16,True
Sara,Bakke,Sætherrøa 9H,Synnøveby,1059,Norge,NO,19610105-8073,+47,39 87 07 45,1961-01-05,True
Petteri,Pirinen,Eduskuntapolku 8,Toivakka,23350,Finland,FI,19920325-801J,+358,004 669 7997,1992-03-25,True
Carl,Persson,Gengränd 9,Östersund,44410,Sverige,SE,19480303-1186,+46,+46 (0)8 084 727 49,1948-03-03,True
Erika,Mattsson,Industrigränd 776,Lidingö,43457,Sverige,SE,19820829-7779,+46,+46 (0)60 38 47 82,1982-08-29,True
Ragnhild,Nilsen,Rønningstien 55C,Saranes,5800,Norge,NO,19741117-0054,+47,95697335,1974-11-17,True
Dustin,Lee,Jessica Terrace 0186,Port Kimberly,60862,Danmark,DK,19611128-4682,+45,(911)603-3521,1961-11-28,True
Jack,Brown,Brianna Extensions 509,East Patrickborough,91473,Danmark,DK,19841207-3016,+45,624-494-4331,1984-12-07,True
Sarah,Alvarado,Christopher Expressway 47766,Lake Donna,09925,Danmark,DK,19670405-9301,+45,+1-349-311-2326x237,1967-04-05,True
Gro,Thorsen,Danielsenbråten 94,Berge,4971,Norge,NO,19501009-5148,+47,26893416,1950-10-09,True
Anne,Rivera,Lopez Skyway 011,West Chris,08162,Danmark,DK,19791204-9245,+45,001-724-840-1542x083,1979-12-04,True
Nicole,Mcmillan,Jessica Port 399,New Michellebury,07152,Danmark,DK,19691119-0087,+45,001-709-806-9470x543,1969-11-19,True
Bjørn,Nilsen,Aasenstien 3,Sindreeid,2372,Norge,NO,19891025-1169,+47,468 89 727,1989-10-25,True
Tone,Amundsen,Kristoffersentjernet 71,Næss,9200,Norge,NO,19891112-8109,+47,69929156,1989-11-12,True
Ulla,Norberg,Backgatan 1,Umeå,84779,Sverige,SE,19820715-4396,+46,0233-675 89,1982-07-15,True
Daniel,Johansson,Trädgårdsstigen 93,Varberg,59619,Sverige,SE,19510515-9136,+46,+46 (0)8 273 622 07,1951-05-15,True
Bjørn,Helland,Larsenkollen 10,Holm,8057,Norge,NO,19560606-9590,+47,03 96 18 52,1956-06-06,True
Hans,Edlund,Ängsgatan 94,Lidingö,67259,Sverige,SE,19521104-4313,+46,034-91 65 87,1952-11-04,True
Nils,Dahlberg,Backgatan 207,Uddevalla,90687,Sverige,SE,19450404-0932,+46,0361-290 59,1945-04-04,True
Nils,Olofsson,Järnvägsvägen 7,Landskrona,45512,Sverige,SE,19630429-3504,+46,+46 (0)415 670 58,1963-04-29,True
Christian,Johannessen,Liestien 47,Anitastad,2218,Norge,NO,19730803-2858,+47,34047570,1973-08-03,True
Ingegärd,Blom,Parkgränd 5,Piteå,22728,Sverige,SE,19980620-7745,+46,+46 (0)92 52 01 57,1998-06-20,True
Lisbeth,Åberg,Ängsvägen 19,Borås,68259,Sverigel,SE,19581029-4161,+46,036-60 68 82,1958-10-29,True
Lennart,Svensson,Fabriksstigen 45,Piteå,34413,Sverige,SE,19530426-3908,+46,+46 (0)8 273 850 53,1953-04-26,True
Erik,Jansson,Storstigen 02,Piteå,86016,Sverige,SE,19960726-5412,+46,+46 (0)806 169 41,1996-07-26,True
Joona,Virtanen,Franzéninkuja 01,Lempäälä,42697,Finland,FI,19430923-237N,+358,039 341 7832,1943-09-23,True
Anders,Aune,Nygårdgjerdet 9B,Rogerfoss,3801,Norge,NO,19400331-9094,+47,95641788,1940-03-31,True
Lisa,Danielsson,Parktorget 0,Sundsvall,25113,Sverige,SE,19710930-8537,+46,08-729 67 09,1971-09-30,True
Sven,Wallin,Parkvägen 641,Karlstad,45981,Sverige,SE,19460322-8058,+46,08-303 19 01,1946-03-22,True
Helena,Persson,Skolgatan 51,Norrköping,30914,Sverige,SE,19910526-9641,+46,0535-106 03,1991-05-26,True
Elizabeth,Ward,Watts Turnpike 443,North Darren,51971,Danmark,DK,19400727-7347,+358,(500)281-1778,1940-07-27,True
Greta,Lindgren,Storvägen 3,Helsingborg,97472,Sverige,SE,19830727-8743,+46,026-729 76 35,1983-07-27,True
Roberto,Hayden,Kara Shoal 895,New Stevenshire,41220,Danmark,DK,19601026-0276,+45,474.995.9666x530,1960-10-26,True
Henrik,Tangen,Kristiansenjordet 1,Bjørgsund,7182,Norge,NO,19850621-3760,+47,69370090,1985-06-21,True
Sofia,Karlsson,Strandvägen 7,Örnsköldsvik,18533,Sverige,SE,19660920-7736,+46,001-264 59 84,1966-09-20,True
Alan,Castaneda,Pearson Island 06433,Port Andreafort,04972,Danmark,DK,19431002-4079,+45,415-877-2425,1943-10-02,True
Christine,Andreasson,Kyrkstigen 16,Trelleborg,28038,Sverige,SE,19960310-1213,+46,08-13 04 77,1996-03-10,True
Emilia,Tuominen,Agronominbulevardi 19,Keitele,44998,Finland,FI,19810909-436A,+358,0183581552,1981-09-09,True
Marianne,Carlsson,Kyrkgatan 99,Luleå,18249,Sverige,SE,19810819-8603,+46,046-600 82 89,1981-08-19,True
Margit,Eriksson,Parkgränd 47,Mölndal,28913,Sverige,SE,19700309-6224,+46,+46 (0)01 20 25 81,1970-03-09,True
Sinikka,Juntunen,Runokylänkuja 0,Karijoki,22955,Finland,FI,19770518-689A,+358,+358 43 3135251,1977-05-18,True
Hanne,Halvorsen,Danielsenengen 40,Rogernes,5103,Norge,NO,19410114-0538,+47,95 18 04 38,1941-01-14,True
Märta,Ottosson,Villavägen 687,Skellefteå,22348,Sverige,SE,19550805-5470,+46,08-692 15 02,1955-08-05,True
Lucas,Williams,Eric Estates 932,Parksshire,41467,Danmark,DK,19940113-9845,+45,+1-703-669-2290x798,1994-01-13,True
Karl,Helland,Halvorsenengen 18,Halvorsen,1110,Norge,NO,19821013-6882,+47,70 80 85 39,1982-10-13,True
Håkan,Lindén,Björkgatan 245,Eskilstuna,86250,Sverige,SE,19520402-4454,+46,08-575 669 05,1952-04-02,True
Maria,Hansson,Järnvägsgatan 4,Göteborg,65827,Sverige,SE,19850217-2966,+46,0099-775 03,1985-02-17,True
Sander,Eide,Bergeplassen 1,Kristianeid,1213,Norge,NO,19940913-0710,+47,985 29 168,1994-09-13,True
Alexander,Nilsson,Fabriksgatan 67,Karlskrona,95239,Sverige,SE,19880216-4937,+46,08-979 56 95,1988-02-16,True
Edward,Cook,Francisco Light 51679,Stephanieton,20968,Danmark,DK,19600826-9227,+45,549-489-5443x09564,1960-08-26,True
Emanuel,Bengtsson,Strandtorget 42,Lidingö,28648,Sverige,SE,19591206-7475,+46,+46 (0)57 80 49 87,1959-12-06,False
Stig,Johansson,Björkgränd 231,Uddevalla,76822,Sverige,SE,19710703-4977,+46,0415-15 53 03,1971-07-03,True
Henrikki,Seppänen,Maasalonkuja 3,Pieksämäki,74151,Finland,FI,19830908-010M,+358,+358121720934,1983-09-08,True
Tyler,Wells,Gina Fall 30756,West Samuel,62187,Danmark,DK,19510319-1818,+45,7792276189,1951-03-19,True
Linda,Bengtsson,Furugatan 5,Örebro,75256,Sverige,SE,19450721-6906,+46,08-296 679 81,1945-07-21,True
Marianne,Gustafsson,Skolgatan 2,Borlänge,40547,Sverige,SE,19450827-0469,+46,08-40 38 56,1945-08-27,True
Jukka,Korhonen,Fagottibulevardi 1,Hailuoto,11353,Finland,FI,19621217-686K,+358,037 295 4453,1962-12-17,True
Kristiina,Niemi,Eino Leinon katu 9,Myrskylä,35030,Finland,FI,19920610-864Y,+358,+358 36 2646450,1992-06-10,True
Ivan,Franzén,Industrivägen 22,Skövde,37371,Sverige,SE,19880330-0189,+46,+46 (0)8 494 002 22,1988-03-30,True
Karl,Karlsson,Parkgränd 2,Östersund,74855,Sverige,SE,19811231-7557,+358,+46 (0)72 33 65 83,1981-12-31,True
Lars,Hagström,Stationsgatan 95,Sundsvall,48012,Sverige,SE,19701005-6056,+46,0135-656 98,1970-10-05,True
Anita,Göransson,Parkvägen 2,Landskrona,82988,Sverige,SE,19660510-0039,+46,033-436 66 81,1966-05-10,True
Wilhelm,Carlsson,Trädgårdsgränd 733,Mölndal,11935,Sverige,SE,19431006-7442,+46,081-960 94 15,1943-10-06,True
Helene,Karlsson,Idrottsstigen 1,Örnsköldsvik,65040,Sverige,SE,19680419-6662,+46,08-633 22 06,1968-04-19,True
Rebecca,Miller,Matthew Inlet 2823,New Brenda,96974,Danmark,DK,19760305-6467,+45,(305)967-4110,1976-03-05,True
Börje,Bengtsson,Nygatan 8,Borlänge,96247,Sverige,SE,19830227-2627,+46,0725-962 73,1983-02-27,True
Julia,Lundberg,Nygatan 129,Nyköping,10141,Sverige,SE,19770226-7978,+46,091-593 88 44,1977-02-26,True
Ricky,Bennett,Crawford Manors 705,Jordanborough,43689,Danmark,DK,19541003-0944,+45,822.385.7870,1954-10-03,True
Olof,Johansson,Strandgatan 146,Ängelholm,33960,Sverige,SE,19731222-9364,+46,003-016 79 07,1973-12-22,True
Kjell,Mattsson,Björkgatan 58,Linköping,67164,Sverige,SE,19400301-8477,+46,084-77 25 99,1940-03-01,True
Inger,Berg,Solheimplassen 28,Hansen,1056,Norge,NO,19660714-1804,+47,+47 10 75 97 06,1966-07-14,True
Sakari,Oksanen,Ostosbulevardi 27,Hankasalmi,99194,Finland,FI,19871212-0751,+358,+358 589858377,1987-12-12,True
Isabel,Garcia,Nguyen Plains 3633,Port Lauren,97980,Danmark,DK,19630502-5278,+45,(901)473-8519x24329,1963-05-02,True
Rita,Sørensen,Myklebusttunet 24G,Camillaeid,5847,Norge,NO,19400910-8568,+47,29 28 43 39,1940-09-10,True
Monica,Larsson,Granstigen 712,Borlänge,58865,Sverige,SE,19790628-8569,+46,066-46 15 76,1979-06-28,True
Sindre,Nielsen,Andresenbakken 379,Asbjørnfjord,4283,Norge,NO,19470602-7670,+47,69 60 37 16,1947-06-02,True
Axel,Johansson,Storgatan 8,Stockholm,85991,Sveriga,SE,19591029-2567,+46,08-22 87 92,1959-10-29,True
Morten,Rasmussen,Haugefaret 492,Lie,2294,Norge,NO,19880112-7793,+47,84601741,1988-01-12,True
Torbjørn,Hanssen,Haugentjernet 494,Johnsen,1250,Norge,NO,19441022-1829,+47,+4764348177,1944-10-22,True
Helena,Laine,Benktanbulevardi 3,Nousiainen,97473,Finland,FI,19621023-2393,+358,0631979323,1962-10-23,True
Conny,Eriksson,Kyrkgatan 8,Uddevalla,88568,Sverige,SE,19890709-3679,+46,08-440 456 34,1989-07-09,True
Markku,Turunen,Wavulininpolku 6,Orivesi,32776,Finland,FI,19620510-723Y,+358,0240281523,1962-05-10,True
Elise,Solberg,Paulsensvingen 93,Mayfoss,6597,Norge,NO,19970131-3923,+47,46751452,1997-01-31,True
Kathleen,Davis,Kristin Mission 288,West Kevin,24008,Danmark,DK,19620803-4970,+45,+1-326-241-9379,1962-08-03,True
Lene,Danielsen,Nielsentjernet 64,Sivertsen,6926,Norge,NO,19851117-8952,+47,966 15 663,1985-11-17,True
Inger,Jacobsen,Nguyensvingen 815,Holm,5685,Norge,NO,19910906-7322,+47,53 77 92 16,1991-09-06,True
Sverre,Sivertsen,Bakkenåsen 8,Stigborg,9223,Norge,NO,19640208-9378,+47,11907684,1964-02-08,True
Jens,Ali,Hellandgata 54,Aas,8507,Norge,NO,19760717-0429,+47,407 92 140,1976-07-17,True
Jenny,Helland,Mikkelsenroa 1F,Lien,9832,Norge,NO,19770813-8929,+47,90812056,1977-08-13,True
Gunnar,Thorsen,Bakkengropa 5,Johannessen,4455,Norge,NO,19420715-0901,+47,976 16 785,1942-07-15,True
Adam,Andersson,Skolgränd 9,Jönköping,59381,Sverige,SE,19480902-4257,+46,+46 (0)8 485 186 43,1948-09-02,True
Susanne,Eriksson,Stationsgatan 11,Ängelholm,91404,Sverige,SE,19500916-6685,+46,+46 (0)219 226 53,1950-09-16,True
Eivind,Hansen,Abrahamsengjerdet 739,Solberg,2706,Norge,NO,19480918-6937,+47,949 91 814,1948-09-18,True
Anna,Holmberg,Ängstorget 2,Piteå,77388,Sverige,SE,19790201-5964,+46,0666-932 93,1979-02-01,True
Christina,Svensson,Ekgränd 21,Borås,46185,Sverige,SE,19800122-6609,+46,+46 (0)40 52 43 46,1980-01-22,True
Mona,Myklebust,Pettersengrenda 12,Lie,1766,Norge,NO,19960114-9756,+47,459 08 411,1996-01-14,True
Per,Petersson,Skolvägen 398,Karlstad,69446,Sverige,SE,19450219-0495,+46,029-711 39 62,1945-02-19,True
Christian,Knudsen,Thomassenstien 963,Unniborg,0269,Norge,NO,19540205-2431,+47,84 62 48 17,1954-02-05,True
Elisabet,Karlsson,Parkvägen 99,Ängelholm,60028,Sverige,SE,19660412-1899,+46,0760-82 42 65,1966-04-12,True
Grethe,Johannessen,Hauglandkroken 3,Bakke,3109,Norge,NO,19740930-2300,+47,98404305,1974-09-30,True
Valdemar,Hedlund,Skolgränd 55,Alingsås,71758,Sverige,SE,19510814-0567,+45,012-262 98 00,1951-08-14,True
Andreas,Larsson,Skoltorget 731,Lund,10359,Sverige,SE,19850124-4954,+46,+46 (0)8 438 454 42,1985-01-24,True
Gustaf,Axelsson,Strandvägen 047,Motala,64237,Sverige,SE,19690717-1818,+46,0371-60 37 18,1969-07-17,True
Ingrid,Åström,Storgatan 39,Kalmar,67791,Sverige,SE,19580409-6581,+46,08-562 45 29,1958-04-09,True
Patricia,Rivera,Burns Field 317,West Brent,61422,Danmark,DK,19840613-0326,+45,213.368.2836x77779,1984-06-13,True
Einar,Haugen,Nygårdhaugen 9,Emilås,1668,Norge,NO,19440406-5356,+47,+47 12 41 26 24,1944-04-06,True
Helena,Andersson,Industrivägen 0,Piteå,28297,Sverige,SE,19521230-5030,+46,0056-16 82 24,1952-12-30,True
Michael,Vargas,Chen Turnpike 797,South Dylanstad,17485,Danmark,DK,19860723-5269,+45,001-300-735-1633,1986-07-23,True
Ola,Solberg,Ahmedlia 4,Ingeborgnes,2891,Norge,NO,19750308-0663,+47,927 59 975,1975-03-08,True
Synnøve,Engen,Knudsenhøgda 1F,Jensvåg,8960,Norge,NO,19740827-6680,+47,995 15 923,1974-08-27,True
Jonathan,Fitzgerald,Robertson Throughway 18565,Elizabethfort,52565,Danmark,DK,19890120-2474,+45,376.955.1159x43401,1989-01-20,True
Maj,Lindberg,Trädgårdsvägen 41,Motala,72767,Sverige,SE,19510429-3600,+46,0865-40 50 27,1951-04-29,True
Evelina,Lindström,Genvägen 9,Skellefteå,85456,Sverige,SE,19670905-7035,+46,0140-15 67 50,1967-09-05,True
Helena,Pettersson,Trädgårdsgatan 76,Lidingö,83277,Sverige,SE,19910223-3782,+46,08-495 593 25,1991-02-23,True
Johanna,Söderberg,Storgatan 288,Västerås,24257,Sverige,SE,19721130-9274,46,015-33 67 18,1972-11-30,True
Jon,Isaksen,Engenkollen 1,Toreeid,9922,Norge,NO,19520116-2117,+47,+47 24 46 01 81,1952-01-16,True
Lennart,Bengtsson,Industrigränd 051,Lidingö,73040,Sverige,SE,19570105-4865,+46,+46 (0)40 55 83 92,1957-01-05,True
Morten,Knutsen,Simonsenkollen 16H,Sandvik,9532,Norge,NO,19951006-2145,+47,46737055,1995-10-06,True
Mary,Perry,Hogan Springs 28575,Lake Lauren,79019,Danmark,DK,19881115-6415,+45,+1-254-894-3121,1988-11-15,True
Jessica,Munoz,Nicholas Meadows 473,East Rebecca,25063,Danmork,DK,19540823-5415,+45,715-244-6526x72973,1954-08-23,True
Maria,Anderson,David Skyway 828,East Janet,97670,Danmark,DK,19740710-4672,+45,392-211-7771,1974-07-10,True
Arild,Svendsen,Gulbrandsensvingen 23,Runefoss,3001,Norge,NO,19501026-7722,+47,938 23 195,1950-10-26,True
Göran,Haglund,Gengatan 65,Kristianstad,51505,Sverige,SE,19890429-2855,46,08-287 511 69,1989-04-29,True
Frida,Carlsson,Skogsvägen 6,Lidköping,18718,Sverige,SE,19811109-5838,+46,0233-847 67,1981-11-09,True
Jessica,Mejia,Thornton Forges 1595,Lake Maryland,38723,Danmark,DK,19870708-4034,+45,409-553-3744x24762,1987-07-08,True
Lena,Eliasson,Trädgårdsstigen 7,Kristianstad,37645,Sverige,SE,19891203-0462,+46,08-421 573 03,1989-12-03,False
Sara,Fredriksen,Mikkelsentoppen 63,Jacobsen,5683,Norge,NO,19910906-2719,+47,+4710462803,1991-09-06,True
Lisa,Dixon,Brianna Mission 33289,Roberthaven,37094,Danmark,DK,19400814-0761,+45,+1-928-756-3509,1940-08-14,True
Ingela,Johansson,Trädgårdsgatan 9,Uddevalla,12696,Sverige,SE,19571025-7850,+46,+46 (0)46 68 52 58,1957-10-25,True
Henrik,Nordström,Skogsgatan 214,Stockholm,88383,Sverige,SE,19470816-0991,+46,08-158 99 65,1947-08-16,True
Gerd,Nilsen,Bakkevollen 69,Hagen,3959,Norge,NO,19620717-8674,+47,95676030,1962-07-17,True
Ingemar,Petersson,Bäckstigen 7,Umeå,30858,Sverige,SE,19830922-3749,+46,+46 (0)251 403 57,1983-09-22,True
Joakim,Eklund,Ängsgränd 3,Lidköping,64447,Sverige,SE,19500424-0217,+46,055-221 88 45,1950-04-24,True
Patrik,Friberg,Parkgatan 513,Kalmar,25158,Sverige,SE,19810509-1872,+46,08-59 59 34,1981-05-09,True
Mikael,Björk,Skogsgränd 112,Stockholm,20467,Sverige,SE,19781019-9593,+46,08-87 09 08,1978-10-19,True
Anna,Jakobsen,Dahlåsen 7,Brekke,6602,Norge,NO,19410521-0931,+47,54390843,1941-05-21,True
Michael,Williams,Jennifer Radial 4530,East Earl,89041,Danmark,DK,19580222-1231,+45,791.218.3822x455,1958-02-22,True
Kristina,Karlsson,Kvarngatan 3,Skövde,97619,Sverige,SE,19920413-1171,+46,0600-740 03,1992-04-13,True
Kerstin,Gustafsson,Genvägen 5,Linköping,53458,Sverige,SE,19460715-6395,+46,08-99 27 77,1946-07-15,True
Anna,Nilsson,Backgränd 5,Trelleborg,24203,Sverige,SE,19680118-5710,+46,08-08 97 05,1968-01-18,True
Ingemar,Hermansson,Storvägen 451,Örebro,41703,Sverige,SE,19420217-8955,+46,+46 (0)98 09 79 92,1942-02-17,True
Daniel,Hayes,Davis Inlet 0080,Lake Gary,54405,Danmark,DK,19681031-4771,+45,701.576.2372,1968-10-31,True
Lena,Ström,Trädgårdsstigen 9,Umeå,54825,Sverige,SE,19651007-6654,+46,+46 (0)54 38 31 95,1965-10-07,True
Christer,Persson,Trädgårdsstigen 40,Nyköping,86386,Sverige,SE,19791017-0807,+46,+46 (0)823 589 25,1979-10-17,False
Inger,Solheim,Tangengata 60,Martinsen,3224,Norge,NO,19830512-2389,+47,30 32 00 38,1983-05-12,True
Christina,Boström,Idrottsgatan 374,Lidköping,55415,Sverige,SE,19470609-0302,+46,064-409 31 20,1947-06-09,True
Ingrid,Jansson,Ekgränd 006,Lidköping,96118,Sverige,SE,19870627-8215,+46,08-867 67 93,1987-06-27,True
Valdemar,Hermansson,Asptorget 10,Halmstad,48250,Sverige,SE,19460927-3589,+46,+46 (0)904 348 38,1946-09-27,True
Kristina,Petersson,Järnvägsvägen 168,Östersund,26166,Sverige,SE,19880112-4222,46,0440-37 08 59,1988-01-12,True
Kimberly,Rodriguez,Shari Neck 309,Castillofort,29644,Danmark,DK,19860625-3632,+45,731.597.1270,1986-06-25,True
Henrik,Ødegård,Andersenholtet 7,Karinvåg,0180,Norge,NO,19410307-6352,+47,40527133,1941-03-07,True
Maria,Rønning,Brekkesvingen 5,Ninastrøm,3916,Norge,NO,19720722-8896,+358,05 22 62 24,1972-07-22,True
Carl,Bengtsson,Åkervägen 9,Kristianstad,58301,Sverige,SE,19930131-4326,+46,033-332 73 57,1993-01-31,True
Emma,Johansson,Kyrkovägen 34,Nyköping,17455,Sverige,SE,19570821-9679,+46,08-10 90 22,1957-08-21,True
Shane,Smith,King Fall 82246,New Joyce,79628,Danmark,DK,19440701-7389,+45,(222)759-2615x921,1944-07-01,True
Gustav,Sjögren,Villavägen 27,Jönköping,33000,Sverige,SE,19750418-5262,+46,+46 (0)705 647 35,1975-04-18,True
Arne,Andersson,Aspgränd 614,Stockholm,23620,Sverige,SE,19630408-8070,+46,08-40 98 25,1963-04-08,True
Anna,Jonsson,Björkstigen 618,Östersund,49957,Sverige,SE,19481103-8880,+46,+46 (0)8 038 788 89,1948-11-03,True
Siv,Adolfsson,Bäckgatan 505,Lund,57370,Sverige,SE,19610418-3171,+46,08-59 15 15,1961-04-18,True
Eli,Pedersen,Isaksenhagen 93,Eriksen,7817,Norge,NO,19421210-2610,+47,944 24 865,1942-12-10,True
William,Forsberg,Parkgatan 403,Västerås,20681,Sverige,SE,19560316-8975,+46,027-314 69 00,1956-03-16,True
Elisabeth,Solberg,Jørgensenlia 03,Gulbrandsen,0499,Norge,NO,19660621-8637,+47,46 39 56 30,1966-06-21,True
Henning,Ericsson,Industrigatan 98,Ängelholm,34448,Sverige,SE,19600318-1315,+46,0646-68 33 94,1960-03-18,True
Juhani,Kinnunen,Taimistonkuja 93,Korsnäs,90238,Finland,FI,19940320-187E,+358,+358 03 0550919,1994-03-20,True
Olof,Larsson,Industritorget 9,Lidköping,53737,Sverige,SE,19590726-1887,+46,042-29 14 33,1959-07-26,True
Erik,Pettersson,Stationsvägen 618,Gävle,99658,Sverige,SE,20001010-7830,+46,0020-491 19,2000-10-10,True
Toivo,Lahtinen,Fagottikatu 469,Mynämäki,14978,Finland,FI,19990619-832U,+358,+358776028295,1999-06-19,True
Karl,Palm,Kyrkostigen 9,Karlstad,31154,Sverige,SE,19970906-9882,+46,08-985 57 13,1997-09-06,True
Monica,Andersen,Andresengjerdet 1,Tonenes,8139,Norge,NO,19480913-1495,+47,+47 45 86 97 19,1948-09-13,True
Karin,Persson,Kyrkotorget 7,Falun,74664,Sverige,SE,19500802-2928,+46,+46 (0)87 61 72 82,1950-08-02,True
Jörgen,Bergqvist,Furutorget 32,Trelleborg,32146,Sverige,SE,19710920-4180,+46,+46 (0)687 525 40,1971-09-20,True
Kelly,Odom,Becker Spurs 3721,Port Jose,25632,Danmark,DK,19470926-6454,+45,001-375-666-9545x30114,1947-09-26,True
Anna,Gustafsson,Trädgårdsvägen 5,Södertälje,44043,Sverige,SE,19670909-1738,+46,+46 (0)8 213 332 49,1967-09-09,True
Milla,Keränen,Dunckerinpolku 8,Eckerö,44137,Finland,FI,19620729-305D,+358,+358 18 0833614,1962-07-29,True
Kristina,Gustafsson,Ringvägen 62,Kristianstad,13493,Sverige,SE,19571204-4569,+46,+46 (0)8 065 957 60,1957-12-04,True
Margareta,Karlsson,Trädgårdstorget 3,Sandviken,47355,Sverige,SE,19600515-4411,+46,0767-96 83 70,1960-05-15,True
Tom,Hauge,Pettersensvingen 98D,Aasen,5086,Norge,NO,19500708-5262,+47,44644361,1950-07-08,True
Roger,Nilsson,Kvarngatan 1,Uddevalla,40273,Sverige,SE,19520606-1253,+46,+46 (0)56 30 28 44,1952-06-06,True
